name,iata,icao,count,passenger_capacity
Aerospatiale (Nord) 262,ND2,N262,26,
Aerospatiale (Sud Aviation) Se.210 Caravelle,CRV,S210,80,
Aerospatiale SN.601 Corvette,NDC,S601,14,
Aerospatiale/Alenia ATR 42-300,AT4,AT43,48,
Aerospatiale/Alenia ATR 42-500,AT5,AT45,48,
Aerospatiale/Alenia ATR 42-600,ATR,AT46,48,
Aerospatiale/Alenia ATR 72,AT7,AT72,74,
Airbus A300,AB3,A30B,266,
Airbus A300-600,AB6,A306,266,
Airbus A300-600ST Super Transporter / Beluga,ABB,A3ST,0,
Airbus A310,310,A310,220,
Airbus A318,318,A318,132,136.0
Airbus A319,319,A319,156,160.0
Airbus A319neo,31N,A19N,160,160.0
Airbus A320,320,A320,180,195.0
Airbus A320neo,32N,A20N,194,195.0
Airbus A321,321,A321,220,236.0
Airbus A321neo,32Q,A21N,244,240.0
Airbus A330,330,\N,440,
Airbus A330-200,332,A332,406,406.0
Airbus A330-300,333,A333,440,440.0
Airbus A330-700 Beluga XL,\N,A337,0,
Airbus A330-800neo,338,A338,406,406.0
Airbus A330-900neo,339,A339,440,406.0
Airbus A340,340,\N,375,
Airbus A340-200,342,A342,261,303.0
Airbus A340-300,343,A343,295,335.0
Airbus A340-500,345,A345,313,313.0
Airbus A340-600,346,A346,379,380.0
Airbus A350,350,\N,440,
Airbus A350-1000,351,A35K,440,387.0
Airbus A350-900,359,A359,440,325.0
Airbus A380,380,\N,853,
Airbus A380-800,388,A388,853,868.0
Antonov AN-12,ANF,AN12,0,
Antonov AN-124 Ruslan,A4F,A124,0,
Antonov AN-140,A40,A140,52,
Antonov An-148,A81,A148,85,
Antonov An-158,A58,A158,99,
Antonov An-225 Mriya,A25,A225,0,
Antonov AN-24,AN4,AN24,48,
Antonov AN-26,A26,AN26,0,
Antonov AN-28,A28,AN28,17,
Antonov AN-30,A30,AN30,0,
Antonov AN-32,A32,AN32,0,
Antonov AN-72,AN7,AN72,0,
Avro RJ100,AR1,RJ1H,112,
Avro RJ70,AR7,RJ70,70,
Avro RJ85,AR8,RJ85,85,
BAe 146,146,\N,112,
BAe 146-100,141,B461,94,
BAe 146-200,142,B462,112,
BAe 146-300,143,B463,128,
Beechcraft 1900,BEH,B190,19,
Bell 212,BH2,B212,14,
Boeing 707,703,B703,219,
Boeing 717,717,B712,134,
Boeing 720B,B72,B720,165,
Boeing 727,727,\N,189,
Boeing 727-100,721,B721,149,
Boeing 727-200,722,B722,189,
Boeing 737,737,\N,215,
Boeing 737 MAX 10,7MJ,\N,230,
Boeing 737 MAX 7,7M7,B37M,172,
Boeing 737 MAX 8,7M8,B38M,210,
Boeing 737 MAX 9,7M9,B39M,220,
Boeing 737-200,732,B732,136,
Boeing 737-300,733,B733,149,
Boeing 737-400,734,B734,188,
Boeing 737-500,735,B735,132,
Boeing 737-600,736,B736,149,
Boeing 737-700,73G,B737,149,
Boeing 737-800,738,B738,189,
Boeing 737-900,739,B739,220,
Boeing 747,747,\N,660,
Boeing 747 LCF Dreamlifter,74B,BLCF,0,
Boeing 747-100,741,B741,550,
Boeing 747-200,742,B742,550,
Boeing 747-300,743,B743,624,
Boeing 747-400,744,B744,660,
Boeing 747-400D,74J,B74D,660,
Boeing 747-8,748,B748,660,
Boeing 747SP,74L,B74S,331,
Boeing 747SR,74R,B74R,498,
Boeing 757,757,\N,243,
Boeing 757-200,752,B752,239,
Boeing 757-300,753,B753,280,
Boeing 767,767,\N,375,
Boeing 767-200,762,B762,290,
Boeing 767-300,763,B763,351,
Boeing 767-400,764,B764,375,
Boeing 777,777,\N,396,
Boeing 777-200,772,B772,440,
Boeing 777-200LR,77L,B77L,317,
Boeing 777-300,773,B773,550,
Boeing 777-300ER,77W,B77W,396,
Boeing 777-8,778,B778,384,
Boeing 777-9,779,B779,426,
Boeing 787,787,\N,330,
Boeing 787-10,78J,B78X,330,
Boeing 787-8,788,B788,242,
Boeing 787-9,789,B789,290,
Bombardier CS100,CS1,BCS1,133,
Bombardier CS300,CS3,BCS3,160,
Bombardier Global Express,CCX,GLEX,19,
British Aerospace (BAC) One Eleven,B11,BA11,119,
British Aerospace 125 series / Hawker/Raytheon 700/800/800XP/850/900,H25,H25B,13,
British Aerospace ATP,ATP,ATP,64,
British Aerospace Jetstream 31,J31,JS31,19,
British Aerospace Jetstream 32,J32,JS32,19,
British Aerospace Jetstream 41,J41,JS41,29,
Canadair Challenger,CCJ,CL60,19,
Canadair CL-44,CL4,CL44,0,
Canadair Regional Jet 100,CR1,CRJ1,50,
Canadair Regional Jet 1000,CRK,CRJX,104,
Canadair Regional Jet 200,CR2,CRJ2,50,
Canadair Regional Jet 700,CR7,CRJ7,78,
Canadair Regional Jet 900,CR9,CRJ9,90,
Cessna 172,CN1,C172,3,3.0
Cessna Citation CJ3,CNJ,C25B,9,
Concorde,SSC,CONC,128,
Dassault Falcon 2000,D20,F2TH,10,
Dassault Falcon 50,DF3,FA50,9,
Dassault Falcon 7X,DF7,FA7X,16,
Dassault Falcon 900,DF9,F900,14,
De Havilland Canada DHC-2 Beaver,DHP,DHC2,7,
De Havilland Canada DHC-2 Turbo-Beaver,DHR,DH2T,7,
De Havilland Canada DHC-3 Otter,DHL,DHC3,10,
De Havilland Canada DHC-4 Caribou,DHC,DHC4,0,
De Havilland Canada DHC-6 Twin Otter,DHT,DHC6,19,
De Havilland Canada DHC-7 Dash 7,DH7,DHC7,50,
De Havilland Canada DHC-8-100 Dash 8 / 8Q,DH1,DH8A,37,
De Havilland Canada DHC-8-200 Dash 8 / 8Q,DH2,DH8B,37,
De Havilland Canada DHC-8-300 Dash 8,DH3,DH8C,50,
De Havilland Canada DHC-8-400 Dash 8Q,DH4,DH8D,78,
De Havilland DH.104 Dove,DHD,DOVE,11,
De Havilland DH.114 Heron,DHH,HERN,17,
Douglas DC-10,D10,DC10,380,
Douglas DC-3,D3F,DC3,32,
Douglas DC-6,D6F,DC6,102,
Douglas DC-8-50,D8T,DC85,189,
Douglas DC-8-62,D8L,DC86,189,
Douglas DC-8-72,D8Q,DC87,189,
Douglas DC-9-10,D91,DC91,90,
Douglas DC-9-20,D92,DC92,90,
Douglas DC-9-30,D93,DC93,115,
Douglas DC-9-40,D94,DC94,125,
Douglas DC-9-50,D95,DC95,139,
Embraer 170,E70,E170,80,
Embraer 175,E75,\N,88,
Embraer 175 (long wing),E7W,E75L,88,
Embraer 190,E90,E190,114,
Embraer 195,E95,E195,122,
Embraer E190-E2,290,E290,114,
Embraer E195-E2,295,E295,146,
Embraer EMB 110 Bandeirante,EMB,E110,19,
Embraer EMB 120 Brasilia,EM2,E120,30,
Embraer Legacy 600,ER3,E35L,13,
Embraer Phenom 100,EP1,E50P,6,
Embraer Phenom 300,EP3,E55P,11,
Embraer RJ140,ERD,E135,44,
Embraer RJ145,ER4,E145,50,
Fairchild Dornier 328JET,FRJ,J328,32,
Fairchild Dornier Do.228,D28,D228,19,
Fairchild Dornier Do.328,D38,D328,32,
Fokker 100,100,F100,109,
Fokker 50,F50,F50,58,
Fokker 70,F70,F70,79,
Fokker F27 Friendship,F27,F27,48,
Fokker F28 Fellowship,F21,F28,85,
Gulfstream Aerospace G-159 Gulfstream I,GRS,G159,10,
Gulfstream G280,GR3,G280,10,
Gulfstream G650,GJ6,GLF6,18,
Gulfstream IV,GJ4,GLF4,19,
Gulfstream V,GJ5,GLF5,19,
Gulfstream/Rockwell (Aero) Commander,ACP,AC68,6,
Gulfstream/Rockwell (Aero) Turbo Commander,ACT,AC90,9,
Harbin Yunshuji Y12,YN2,Y12,17,
Hawker Siddeley HS 748,HS7,A748,58,
Ilyushin IL114,I14,I114,64,
Ilyushin IL18,IL8,IL18,120,
Ilyushin IL62,IL6,IL62,186,
Ilyushin IL76,IL7,IL76,0,
Ilyushin IL86,ILW,IL86,350,
Ilyushin IL96,I93,IL96,262,
Learjet 35,LRJ,LJ35,8,
Lockheed L-1011 Tristar,L10,L101,400,
Lockheed L-1049 Super Constellation,L49,CONI,95,
Lockheed L-182 / 282 / 382 (L-100) Hercules,LOH,C130,92,
Lockheed L-188 Electra,LOE,L188,99,
McDonnell Douglas MD-11,M11,MD11,410,
McDonnell Douglas MD-81,M81,MD81,172,
McDonnell Douglas MD-82,M82,MD82,172,
McDonnell Douglas MD-83,M83,MD83,172,
McDonnell Douglas MD-87,M87,MD87,139,
McDonnell Douglas MD-88,M88,MD88,172,
McDonnell Douglas MD-90,M90,MD90,172,
NAMC YS-11,YS1,YS11,64,
Partenavia P.68,PN6,P68,6,
Pilatus Britten-Norman BN-2A Mk III Trislander,BNT,TRIS,18,
Pilatus Britten-Norman BN-2A/B Islander,BNI,BN2P,9,
Pilatus PC-12,PL2,PC12,9,
Pilatus PC-6 Turbo Porter,PL6,PC6T,10,
Piper PA-31 Navajo,PA2,PA31,7,
Piper PA-46,PAG,PA46,6,
Saab 2000,S20,SB20,50,
Saab SF340A/B,SF3,SF34,34,
Shorts SC-5 Belfast,SHB,BELF,0,
Shorts SC-7 Skyvan,SHS,SC7,19,
Shorts SD.330,SH3,SH33,30,
Shorts SD.360,SH6,SH36,39,
Sikorsky S-58T,S58,S58T,12,
Sikorsky S-61,S61,S61,30,
Sikorsky S-76,S76,S76,13,
Sikorsky S-92,S92,S92,19,
Sukhoi Superjet 100-95,SU9,SU95,98,
Tupolev Tu-134,TU3,T134,84,
Tupolev Tu-154,TU5,T154,180,
Tupolev Tu-204,T20,T204,214,
Yakovlev Yak-40,YK4,YK40,32,
Yakovlev Yak-42,YK2,YK42,120,
